train_losses_conv,test_losses_conv,test_accuracies
1.204437718113094,0.5001059277991581,0.8505
0.40457922471230473,0.30254153551379587,0.9071
0.272816611803385,0.20934501984364287,0.9371
0.2122997241174139,0.16870115979746647,0.9486
0.1760301232786734,0.1456661113496324,0.9546
0.15109122210521814,0.12987849370807789,0.9597
0.13187725913982942,0.11772023466753827,0.9626
0.11703501402267388,0.10890000276148888,0.964
0.10495386495024585,0.10045365821629477,0.9656
0.09501557055014823,0.09411206599591881,0.9678
0.08643995835902547,0.08918782039753097,0.9701
0.07925732501460783,0.0847228626916363,0.9719
0.07298923408918416,0.08173794141202383,0.9729
